Model,CV_Balanced_Accuracy_Mean,CV_Balanced_Accuracy_Std,CV_Macro_F1_Mean,CV_Macro_F1_Std,CV_Weighted_F1_Mean,CV_Weighted_F1_Std
Gradient_Boosting,0.9035799090601276,0.023608341216202,0.9064780720141663,0.022138406048001887,0.9506335938716026,0.013782376368982338
Random_Forest,0.8977880286120318,0.029542307952899444,0.8831287133407374,0.02849050882221578,0.9389948914561701,0.014304307881034616
MLP_Neural_Network,0.8604211710653293,0.029587094566547383,0.8563682427711043,0.024173189096166614,0.9275943538988962,0.008793251134012397
Logistic_Regression,0.8516983887728877,0.054753252926656566,0.799813205295845,0.03707476892167871,0.8901811014257005,0.010749649209710846
